,YEAR,TEAM,CONF,G,WINS,LOSSES,W%,ADJOE,ADJDE,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,WAB,SEED,FINISH,T_WINS,Corrected_Expected_Wins,Cinderella
0,2008,Kansas,B12,33.0,30.0,3.0,0.909,121.0,85.6,56.3,44.8,18.7,22.9,38.0,29.0,37.5,30.8,54.8,40.9,39.9,34.0,29.2,38.1,69.5,9.9,1.0,CHAMPS,6.0,5,1.0
1,2008,North Carolina,ACC,34.0,32.0,2.0,0.941,120.2,91.8,52.4,48.0,19.0,21.2,42.4,28.7,39.1,25.5,51.2,47.0,37.8,33.2,22.2,34.8,75.1,11.9,1.0,Final Four,4.0,5,-1.0
2,2008,Texas,B12,33.0,27.0,6.0,0.818,120.0,94.2,51.4,46.1,14.1,18.5,36.1,33.7,32.6,29.7,48.7,43.6,37.7,33.2,34.3,38.9,64.8,8.4,2.0,Elite Eight,3.0,4,-1.0
3,2008,Drake,MVC,30.0,26.0,4.0,0.867,118.0,96.3,52.8,49.8,18.1,24.0,36.6,32.9,34.3,23.7,50.9,49.2,36.6,33.8,45.5,39.3,64.2,5.2,5.0,R64,0.0,1,-1.0
4,2008,Oregon,P10,31.0,18.0,13.0,0.581,117.8,101.2,56.3,50.2,18.6,16.4,32.3,31.2,36.9,33.3,53.9,50.1,40.1,33.6,39.0,35.3,67.9,0.8,9.0,R64,0.0,0,0.0
5,2008,Duke,ACC,32.0,27.0,5.0,0.844,117.2,88.8,54.1,47.6,18.2,24.9,34.3,33.5,40.4,32.0,51.8,47.1,38.4,32.8,39.1,24.8,73.7,8.9,2.0,R32,1.0,4,-3.0
6,2008,UCLA,P10,33.0,30.0,3.0,0.909,116.4,86.9,52.3,48.0,18.8,22.7,39.2,25.9,38.0,25.7,52.9,46.8,33.8,34.2,28.1,27.9,66.2,10.8,1.0,Final Four,4.0,5,-1.0
7,2008,Tennessee,SEC,32.0,28.0,4.0,0.875,116.3,92.2,52.8,49.2,17.7,24.6,37.0,34.3,36.8,39.4,51.7,50.8,36.4,31.0,39.1,35.6,72.7,9.2,2.0,Sweet Sixteen,2.0,4,-2.0
8,2008,Pittsburgh,BE,34.0,25.0,9.0,0.735,116.1,95.7,51.1,48.0,18.4,21.0,39.7,34.1,36.7,29.1,51.0,47.3,34.3,32.8,30.3,34.7,65.2,5.3,4.0,R32,1.0,2,-1.0
9,2008,Notre Dame,BE,31.0,24.0,7.0,0.774,115.6,95.3,52.8,46.9,18.2,17.6,36.6,31.0,34.8,22.8,48.4,44.7,41.0,34.1,33.5,33.3,70.8,4.4,5.0,R32,1.0,1,0.0
