School Identifier,Year,Cinderella_0 (Y),Cinderella_1 (Y),Cinderella_2 (Y),Cinderella_3+ (Y),March Madness Participation (Y),SAT_AVG (Y to Y+1),Admission Rate (Y to Y+1),Undergraduate Size (Y to Y+1),SAT_AVG (Y+1 to Y+2),Admission Rate (Y+1 to Y+2),SAT_AVG (Y+2 to Y+3),Admission Rate (Y+2 to Y+3),Type
University of Connecticut,2008,1,0,0,0,1,1197.0,0.5449,16459.0,1213.0,0.4969,1221.0,0.5397,public
University of Connecticut,2009,1,0,0,0,1,1213.0,0.4969,16691.0,1221.0,0.5397,1221.0,0.4732,public
University of Connecticut,2010,1,0,0,0,0,1221.0,0.5397,16970.0,1221.0,0.4732,1238.0,0.4471,public
University of Connecticut,2011,0,0,0,1,1,1221.0,0.4732,17450.0,1238.0,0.4471,1233.0,0.5366,public
University of Connecticut,2012,1,0,0,0,1,1238.0,0.4471,17170.0,1233.0,0.5366,1246.0,0.4996,public
University of Connecticut,2013,1,0,0,0,0,1233.0,0.5366,17684.0,1246.0,0.4996,1250.0,0.5317,public
University of Connecticut,2014,0,0,0,1,1,1246.0,0.4996,18016.0,1250.0,0.5317,1248.0,0.488,public
University of Connecticut,2015,1,0,0,0,0,1250.0,0.5317,18451.0,1248.0,0.488,1313.0,0.4784,public
University of Connecticut,2016,0,1,0,0,1,1248.0,0.488,19030.0,1313.0,0.4784,1318.0,0.4877,public
University of Connecticut,2017,1,0,0,0,0,1313.0,0.4784,18930.0,1318.0,0.4877,1312.0,0.4942,public
University of Connecticut,2018,1,0,0,0,0,1318.0,0.4877,18830.0,1312.0,0.4942,1294.0,0.5609,public
University of Connecticut,2019,1,0,0,0,0,1312.0,0.4942,18585.0,1294.0,0.5609,1337.0,0.556,public
Virginia Commonwealth University,2008,1,0,0,0,0,1071.0,0.5825,21034.0,1079.0,0.7031,1090.0,0.7103,public
Virginia Commonwealth University,2009,1,0,0,0,1,1079.0,0.7031,21536.0,1090.0,0.7103,1078.0,0.709,public
Virginia Commonwealth University,2010,1,0,0,0,0,1090.0,0.7103,21880.0,1078.0,0.709,1102.0,0.6455,public
