YEAR,TEAM_1,TEAM_2,ROUND,SEED_1,SEED_2,Team1Score,Team2Score,Team1ID,Team2ID,OT,2OT,R32,S16,E8,F4,Championship,Team1W,Team2W,CONF_1,G_1,WINS_1,LOSSES_1,W%_1,ADJOE_1,ADJDE_1,EFG%_1,EFGD%_1,TOR_1,TORD_1,ORB_1,DRB_1,FTR_1,FTRD_1,2P%_1,2P%D_1,3P%_1,3P%D_1,3PR_1,3PRD_1,ADJ T._1,WAB_1,FINISH_1,T_WINS_1,CONF_2,G_2,WINS_2,LOSSES_2,W%_2,ADJOE_2,ADJDE_2,EFG%_2,EFGD%_2,TOR_2,TORD_2,ORB_2,DRB_2,FTR_2,FTRD_2,2P%_2,2P%D_2,3P%_2,3P%D_2,3PR_2,3PRD_2,ADJ T._2,WAB_2,FINISH_2,T_WINS_2
2008.0,Kansas,Portland St.,R64,1.0,16.0,85.0,61.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,B12,33.0,30.0,3.0,0.909,121.0,85.6,56.3,44.8,18.7,22.9,38.0,29.0,37.5,30.8,54.8,40.9,39.9,34.0,29.2,38.1,69.5,9.9,CHAMPS,6.0,BSky,30.0,21.0,9.0,0.7,105.3,101.8,54.7,50.0,20.7,21.5,34.0,31.3,38.2,35.3,51.2,49.4,39.9,34.2,41.0,33.5,68.2,-3.4,R64,0.0
2008.0,North Carolina,Mount St. Mary's,R64,1.0,16.0,113.0,74.0,2.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ACC,34.0,32.0,2.0,0.941,120.2,91.8,52.4,48.0,19.0,21.2,42.4,28.7,39.1,25.5,51.2,47.0,37.8,33.2,22.2,34.8,75.1,11.9,Final Four,4.0,NEC,32.0,18.0,14.0,0.562,97.3,99.1,50.2,46.4,20.9,22.0,30.0,33.0,38.7,38.6,48.1,45.7,36.7,32.1,30.1,30.7,67.5,-9.5,R64,0.0
2008.0,Memphis,UT Arlington,R64,1.0,16.0,87.0,63.0,21.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CUSA,34.0,33.0,1.0,0.971,113.3,83.8,53.0,42.5,17.2,23.3,37.8,29.3,38.6,32.7,53.3,41.6,35.0,29.8,36.7,28.7,70.7,8.9,Finals,5.0,Slnd,28.0,17.0,11.0,0.607,99.1,101.2,52.5,47.1,24.1,20.8,31.8,30.5,41.5,37.9,52.7,46.3,34.7,32.2,31.3,41.4,70.6,-7.0,R64,0.0
2008.0,UCLA,Mississippi Valley St.,R64,1.0,16.0,70.0,29.0,7.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,P10,33.0,30.0,3.0,0.909,116.4,86.9,52.3,48.0,18.8,22.7,39.2,25.9,38.0,25.7,52.9,46.8,33.8,34.2,28.1,27.9,66.2,10.8,Final Four,4.0,SWAC,30.0,15.0,15.0,0.5,90.0,105.3,44.3,49.7,21.8,22.9,32.5,34.5,41.6,37.5,41.5,50.9,35.2,31.3,25.0,31.4,64.9,-10.0,R64,0.0
2008.0,Tennessee,American,R64,2.0,15.0,72.0,57.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,SEC,32.0,28.0,4.0,0.875,116.3,92.2,52.8,49.2,17.7,24.6,37.0,34.3,36.8,39.4,51.7,50.8,36.4,31.0,39.1,35.6,72.7,9.2,Sweet Sixteen,2.0,Pat,32.0,21.0,11.0,0.656,105.0,104.5,52.5,47.5,22.1,19.7,32.3,30.2,42.1,38.0,46.5,44.6,40.9,35.1,40.1,35.4,62.7,-5.8,R64,0.0
2008.0,Texas,Austin Peay,R64,2.0,15.0,74.0,54.0,3.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,B12,33.0,27.0,6.0,0.818,120.0,94.2,51.4,46.1,14.1,18.5,36.1,33.7,32.6,29.7,48.7,43.6,37.7,33.2,34.3,38.9,64.8,8.4,Elite Eight,3.0,OVC,34.0,24.0,10.0,0.706,102.5,103.5,52.3,54.1,18.5,24.5,29.9,32.3,44.6,32.7,49.0,53.0,38.6,37.1,37.2,40.0,67.4,-5.3,R64,0.0
2008.0,Georgetown,UMBC,R64,2.0,15.0,66.0,47.0,23.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BE,32.0,27.0,5.0,0.844,113.1,87.9,56.2,41.9,20.9,20.2,33.1,33.0,34.0,35.8,55.6,40.3,38.0,29.9,40.0,34.6,63.0,7.7,R32,1.0,AE,31.0,23.0,8.0,0.742,111.3,108.3,52.2,50.6,13.4,17.5,32.1,33.5,33.8,28.4,49.3,48.7,38.8,36.1,32.4,35.4,66.1,-3.0,R64,0.0
2008.0,Duke,Belmont,R64,2.0,15.0,71.0,70.0,6.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ACC,32.0,27.0,5.0,0.844,117.2,88.8,54.1,47.6,18.2,24.9,34.3,33.5,40.4,32.0,51.8,47.1,38.4,32.8,39.1,24.8,73.7,8.9,R32,1.0,ASun,32.0,24.0,8.0,0.75,105.5,105.0,53.3,52.0,20.4,22.4,33.8,30.4,34.0,35.6,52.2,51.9,36.3,34.8,47.4,34.3,71.4,-3.5,R64,0.0
2008.0,Louisville,Boise St.,R64,3.0,14.0,79.0,61.0,36.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BE,32.0,24.0,8.0,0.75,110.3,87.4,52.0,43.8,19.6,21.4,33.4,30.7,36.4,33.2,52.5,42.3,34.2,31.0,39.1,35.1,67.5,4.7,Elite Eight,3.0,WAC,32.0,24.0,8.0,0.75,106.2,102.6,57.3,49.9,21.0,19.4,30.2,29.5,40.3,33.6,56.1,48.9,39.6,34.7,35.7,31.8,73.0,-2.4,R64,0.0
2008.0,Stanford,Cornell,R64,3.0,14.0,77.0,53.0,30.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,P10,33.0,26.0,7.0,0.788,111.5,88.6,49.8,44.0,18.9,18.1,39.2,28.8,40.4,34.0,48.2,41.6,36.0,33.5,27.1,27.0,65.2,6.7,Sweet Sixteen,2.0,Ivy,26.0,21.0,5.0,0.808,107.5,103.7,56.1,48.6,20.0,20.6,28.9,30.9,34.2,35.2,53.3,45.7,40.9,36.2,35.0,33.7,69.8,-1.2,R64,0.0
